headline;title;description;pubTime;pubDate
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;"Merkel: Nach Pandemie ""nicht am Klimaschutz sparen""";Bundeskanzlerin Angela Merkel hat dazu aufgerufen, beim wirtschaftlichen Wiederaufbau nach der Corona-Pandemie dem Klimaschutz einen festen Stellenwert einzuraeumen.;15:57;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Ansteckungsrate nun wieder bei 0,9;Das Robert Koch-Institut hat nach neuester Lageeinschaetzung die Corona-Ansteckungsrate wieder mit 0,9 angegeben.;15:27;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Venedig ruft: Kommt!;Venedig hat zur Unterstuetzung des Tourismus aufgerufen.;15:09;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Tausende Tote in britischen Pflegeheimen;Allein in England und Wales sind 4343 Heimbewohner in zwei Wochen (10.;15:01;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;"Kubicki kritisierte RKI scharf: Zahlen ""politisch motiviert""";Vize-FDP-Chef Wolfgang Kubicki hat das Robert Koch-Institut RKI und seinen Praesidenten Lothar Wieler wegen der regelmaessig verbreiteten Corona-Zahlen scharf kritisiert.;15:01;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Gottesdienste auch in Mecklenburg-Vorpommern wieder erlaubt;In den Kirchen, Synagogen und Moscheen in Mecklenburg-Vorpommern koennen vom 4. Mai an wieder Gottesdienste abgehalten werden.;14:43;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Lockerungsplaene im Saarland;Im Saarland sollen ab dem 4. Mai zwar Kontaktbeschraenkungen bestehen bleiben.;14:41;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Online-Befragung in 18.000 Pflegeeinrichtungen;Ein Forschungsteam der Universitaet Bremen will herausfinden, vor welchen Herausforderungen Pflegeeinrichtungen angesichts der Corona-Pandemie stehen.;14:38;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Berlin zieht nach - Maskenpflicht nun bundesweit;Wie schon in Bussen und Bahnen gilt nun auch im Einzelhandel bundesweit eine Maskenpflicht.;14:30;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Bayern verlaengert Ausgangsbeschraenkungen;Bayern verlaengert die geltenden Ausgangsbeschraenkungen um eine Woche bis zum 10. Mai.;14:19;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Lockerungen? Am 6. Mai wird geguckt;Bundesgesundheitsminister Jens Spahn haelt trotz der wieder gestiegenen Reproduktionsrate am Kurs vorsichtiger Lockerungen fest.;14:17;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Kultusminister: Schueler sollen tageweise zur Schule;"Keine rasche Rueckkehr zur Normalitaet im Schulbetrieb: ""Es wird vor den Sommerferien kein regulaeres Unterrichtsgeschehen mehr stattfinden koennen"", sagt die Vorsitzende der Kultusministerkonferenz der Laender (KMK), die rheinland-pfaelzische Bildungsministerin Stefanie Hubig.";14:05;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Seniorenverbaende fordern Ende von Besuchsverboten in Pflegeheimen;Die Bundesarbeitsgemeinschaft der Senioren-Organisationen hat an Bund und Laender appelliert, die Besuchs- und Ausgehverbote fuer Menschen in Pflegeeinrichtungen zu beenden.;13:47;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Mallorca vor ungewisser Tourismussaison;Die Balearen sind stark vom Tourismus abhaengig.;13:45;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;"""Mit dem Green Deal aus der Krise ein Chance machen""";EU-Kommissionspraesidentin Ursula von der Leyen hat dafuer geworben, in der Corona-Krise an den Klima- und Umweltplaenen der EU festzuhalten.;13:15;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Altmaier will Beteiligungen im Gesundheitssektor staerker pruefen;Wirtschaftsminister Peter Altmaier will in der Corona-Krise die Kontrolle auslaendischer Investitionen im Gesundheitssektor verschaerfen.;13:07;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Schweigeminute fuer gestorbene Aerzte und Pfleger in Grossbritannien;Mit einer Schweigeminute haben Briten der etwa 100 Aerzte und Pfleger gedacht, die an den Folgen einer Corona-Infektion gestorben sind.;13:00;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Kretschmann: Laender wollen die 800-qm-Grenze gemeinsam regeln;Die Bundeslaender streben nach Angaben von Baden-Wuerttembergs Winfried Kretschmann eine gemeinsame Regelung fuer die umstrittene 800-Quadratmeter-Grenze fuer die Oeffnung von Einzelhandelsgeschaeften an.;12:55;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Apotheken trotzen Corona;Fruehe und umfassende Schutzmassnahmen der Apotheken wie Plexiglas, Abstandsregeln, Desinfektion und Zugangsbeschraenkungen haben offenbar funktioniert.;12:32;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Massentest in Hochhaeusern: Fuenf Bewohner mit Coronavirus infiziert;Fuenf Bewohner des abgeriegelten Hochhauskomplexes im nordrhein-westfaelischen Grevenbroich sind mit dem Coronavirus infiziert.;12:22;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Tuerkei liefert Schutzausruestung in die USA;Die Tuerkei unterstuetzt die USA bei der Bewaeltigung der Coronavirus-Pandemie mit medizinischer Schutzausruestung.;12:19;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Kurzarbeit fuer mehr als die Haelfte deutscher Firmen;Knapp 55 Prozent der Unternehmen in Deutschland haben bereits Kurzarbeit angemeldet, wie das Institut der deutschen Wirtschaft (IW) mitteilt.;12:03;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;In Spanien sinkt Zahl der Neuinfektionen;Das spanische Gesundheitsministerium hat aktuell einen Anstieg bei den Ansteckungen um 1308 auf insgesamt 210.773 gemeldet.;11:54;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;RKI: Weiter an Regeln halten;Das Robert-Koch-Institut (RKI) hat davor gewarnt, sich bei der Beurteilung der Dynamik der Corona-Pandemie allein auf die Reproduktionszahl zu konzentrieren.;11:04;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Viele Deutsche melden sich als Opfer im Tirol-Ermittlungsverfahren;Mehr als 250 deutsche Urlauber haben sich einem Ermittlungsverfahren zur Ausbreitung des Coronavirus in Tirol angeschlossen.;10:57;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;SAP und Telekom arbeiten an Corona-App;SAP und Deutsche Telekom springen der Bundesregierung bei der Entwicklung einer Corona-App zur Seite.;10:45;28.04.2020
Coronavirus-Pandemie | ++ Ansteckungsrate wieder bei 0,9  ++;Bundesregierung sagt Tag der offenen Tuer ab;Der Tag der offenen Tuer der Bundesregierung faellt in diesem Jahr wegen der Corona-Pandemie aus.;10:35;28.04.2020
