headline;title;description;pubTime;pubDate
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Polen lockert Corona-Massnahmen;Polen lockert die Beschraenkungen zur Eindaemmung des Coronavirus weiter und will am 4. Mai Hotels und Einkaufszentren wieder oeffnen.;10:56;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Kabinett verlaengert Reisewarnung bis 14. Juni;Das Bundeskabinett hat die weltweite Reisewarnung bis zum 14. Juni verlaengert.;10:45;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Tausenden Airbus-Mitarbeitern droht Kurzarbeit;Der europaeische Flugzeugbauer Airbus wird wegen der Coronakrise voraussichtlich bald einige tausend Beschaeftigte in Deutschland in Kurzarbeit schicken.;10:35;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Stromverbrauch durch Corona gesunken;Der Stromverbrauch in Deutschland hat seit dem weitgehenden Stillstand in grossen Teilen der Wirtschaft spuerbar nachgelassen.;10:06;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Abe: Olympia 2021 ohne Sieg gegen Corona schwierig;Solange die Corona-Pandemie nicht besiegt ist, stehen die Chancen fuer eine Austragung der bereits verschobenen Olympischen Spiele in Tokio nach Angaben von Japans Regierungschef Shinzo Abe auch kommendes Jahr sehr schlecht.;09:51;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Autoindustrie fordert Kaufpraemien auch fuer Diesel- und Benzinautos;Der Verband der Deutschen Automobilindustrie (VDA) fordert eine Kaufpraemie nicht nur fuer Elektro- und Hybridautos, sondern auch fuer Diesel- und Benzinfahrzeuge.;09:38;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Streit zwischen Australien und China spitzt sich zu;Im Streit ueber die von Australien geforderte unabhaengige Untersuchung des Coronavirus-Ausbruchs verschaerft China den Ton gegenueber der Regierung in Canberra.;09:22;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Tourismusbeauftragter: In diesem Jahr ist Heimaturlaub angesagt;Der Tourismusbeauftragte der Bundesregierung, Thomas Bareiss, geht davon aus, dass auf absehbare Zeit keine Fernreisen moeglich sein werden.;09:10;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;Bund zahlt Ausfallhonorare fuer freie Kuenstler;Die vom Bund gefoerderten Kulturinstitutionen werden freischaffenden Kuenstlerinnen und Kuenstlern in der Corona-Krise Ausfallhonorare zahlen.;08:55;29.04.2020
Coronavirus-Pandemie | ++ Airbus rutscht in die roten Zahlen  ++;So soll die deutsche Corona-App funktionieren;Urspruenglich wollte die Bundesregierung bereits Mitte April eine Corona-App auf den Markt bringen.;08:40;29.04.2020
