name;cases;diff;deaths;update
Baden-Wuerttem­berg;31.196;+153;1.269;24.04.2020
Bayern;41.406;+336;1.681;24.04.2020
Berlin;5.669;+31;127;24.04.2020
Brandenburg;2.747;+26;106;24.04.2020
Bremen;759;+5;27;24.04.2020
Hamburg;4.505;+30;142;24.04.2020
Hessen;8.026;+47;333;24.04.2020
Mecklenburg-Vor­pommern;675;+1;17;24.04.2020
Niedersachsen;9.926;+79;394;24.04.2020
Nordrhein-West­falen;32.184;+305;1.171;24.04.2020
Rhein­land-Pfalz;5.928;+49;157;24.04.2020
Saarland;2.509;+6;123;24.04.2020
Sachsen;4.490;+32;148;24.04.2020
Sachsen-Anhalt;1.520;+5;39;24.04.2020
Schles­wig-Holstein;2.653;+15;101;24.04.2020
Thueringen;2.144;+24;78;24.04.2020
Gesamt;156.337;+1.144;5.913;24.04.2020
