headline;title;description;pubTime;pubDate
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Zu grosser Andrang auf Maerkten in Berlin;Da zu viele Menschen auf Wochenmaerkten in Berlin unterwegs waren, musste die Polizei eingreifen.;19:00;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Maskenpflicht: Wo Verstoesse kosten;Ab der kommenden Woche fuehren alle Bundeslaender die Maskenpflicht ein - doch nicht ueberall drohen Bussgelder, wenn man sich nicht an die Vorgabe haelt.;18:53;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Keine Neuinfektionen auf Island registriert;Erstmals seit Ende Februar sind auf Island innerhalb von 24 Stunden keine neuen Infektionen gemeldet worden.;18:48;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Zahl der neuen Todesfaelle in Italien gesunken;Die Zahl der bekannten Neuinfektionen in Italien hat wieder staerker zugenommen.;18:43;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Coronavirus-Ausbruch auf US-Kriegsschiff;"Es hat auf einem zweiten US-Kriegsschiff auf See einen Coronavirus-Ausbruch gegeben: Mindestens 17 Besatzungsmitglieder des Zerstoerers ""Kidd"" seien infiziert, teilte die US-Marine mit.";18:34;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Saudi-Arabien will Waffenruhe im Jemen verlaengern;Das von Saudi-Arabien gefuehrte Militaerbuendnis hat sich dafuer ausgesprochen, die von ihm einseitig erklaerte Waffenruhe im Jemen zu verlaengern.;18:21;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Italien plant mit starkem Anstieg beim Haushaltsdefizit;Das italienische Kabinett hat beschlossen, das Haushaltsdefizit des Landes auf mehr als zehn Prozent anzuheben, um die Auswirkungen der Corona-Krise aufzufangen.;17:56;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Australien: Chefmediziner gegen Behelfsmasken;Der Chefmediziner der australischen Regierung, Brendan Murphy, hat abermals von dem Tragen von sogenannten Behelfsmasken im Alltag abgeraten.;17:47;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Sportliche Hoechstleistung beim virtuellen Marathon;Ein Marathon im Internet? Klingt erst einmal seltsam.;17:39;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Auch Bayern laesst ab Anfang Mai wieder Gottesdienste zu;Kirchen und Glaubensgemeinschaften in Bayern duerfen ab dem 4. Mai wieder Gottesdienste abhalten.;17:31;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Ein Hilferuf mit leeren Stuehlen;Gastronomen haben in 80 deutschen Staedten auf oeffentlichen Plaetzen Hunderte leere Stuhle aufgestellt.;17:27;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Mehr als 50.000 Corona-Tote in den USA;In den USA sind mehr als 50.000 Menschen infolge einer Corona-Infektion gestorben.;17:18;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Bremen: Senat beschliesst Maskenpflicht;Auch der Bremer Senat hat einer Maskenpflicht ab Montag zugestimmt.;17:11;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Lufthansa rechnet mit umfangreichem Stellenabbau;Wegen der Corona-Krise koennten bei der Fluggesellschaft Lufthansa bis zu 10.000 Jobs wegfallen.;17:04;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Linke legt neuen Termin fuer Parteitag fest;Eigentlich hatten die Delegierten der Linkspartei im Juni auf ihrem Parteitag zusammenkommen sollen.;16:56;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Beethoven-Jubilaeum wird verlaengert;Die Feierlichkeiten rund um das Beethoven-Jubilaeum in diesem Jahr werden aufgrund der Corona-Krise ausgeweitet.;16:54;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Reportage von deutsch-franzoesischer Grenze;Seit dem 16. Maerz wird an der Grenze zwischen dem Saarland und Frankreich kontrolliert - und das wird zur zunehmenden Belastungsprobe fuer Pendler, Anwohner und Einsatzkraefte, wie Anne Bobzin berichtet.;16:48;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Mehr Anfragen bei italienischer Caritas;Die Caritas in Italien verzeichnet eine massive Zunahme an Hilfsanfragen.;16:45;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;FIFA und IOC unterstuetzen Verbaende finanziell;Die FIFA stellt 150 Millionen Dollar, umgerechnet rund 130 Millionen Euro, zur Verfuegung, um nationale Verbaende zu unterstuetzen.;16:38;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Erste kleine Gottesdienste in Sachsen;In Sachsen sind die ersten Gottesdienste gefeiert worden, allerdings in sehr kleinem Rahmen.;16:30;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Fonds fuer die Forschung;"Die Vereinten Nationen haben eine ""historische"" Initiative zur Entwicklung von Impfstoffen und Medikamenten gegen das neuartige Coronavirus gestartet.";16:17;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Virologe warnt vor moeglichem Rueckfall;"In Deutschland zeigen die Einschraenkungen und die Vorsichtsmassnahmen in der Corona-Pandemie Wirkung - doch dadurch duerfe kein ""truegerisches Bild der Sicherheit"" entstehen, betont der Virologe Jonas Schmidt-Chanasit im tagesschau24-Interview.";15:49;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Wie erleben Auswanderer die Krise?;Hunderttausende Deutsche wurden von der Bundesregierung nach Hause geholt - doch einige haben im Ausland eine neue Heimat gefunden und wollen gar nicht zurueck.;15:45;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;IG Metall warnt vor Zahlungsengpaessen in Unternehmen;Die IG Metall warnt vor drastischen Auswirkungen fuer die Betriebe im eigenen Organisationsbereich.;15:37;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Streiken in Corona-Zeiten;"Die Klimaschuetzer von ""Fridays fuer Future"" protestieren weiter fuer mehr Umweltschutz - zur Zeit nur eben auf etwas andere Art.";15:20;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Polen laesst Kitas und Schulen noch ueber Wochen geschlossen;Auch Polen lockert nach und nach erste Corona-Einschraenkungen.;15:12;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Antrag auf Entschaedigung bei Verdienstausfall bald online;Wem durch die Corona-Krise Verdienst wegbricht, kann ab kommender Woche online eine Entschaedigung beantragen.;15:08;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Litauen verlaengert Grenzkontrollen;Die seit dem 14. Maerz geltenden Grenzkontrollen in Litauen wurden vom Innenministerium des Landes bis zum 14. Mai verlaengert.;15:01;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Bischofskonferenz stellt Massnahmenkatalog zusammen;Die katholische Deutsche Bischofskonferenz hat an ihre Bistuemer Empfehlungen verschickt, welche Hygieneregeln bei Gottesdiensten eingehalten werden sollten.;14:58;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Trumps Vorschlaege auf dem Pruefstand;Sonnenlicht, um das Virus abzutoeten, und Desinfektionsmittel per Spritze - wie realistisch sind die neuesten Vorschlaege von US-Praesident Donald Trump?;14:51;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Brandenburg: Kabinett segnet Maskenpflicht ab;Die Maskenpflicht in Brandenburg ist nun endgueltig beschlossene Sache: Das Kabinett gab gruenes Licht und damit muss ab Montag im oeffentlichen Nahverkehr und in Geschaeften eine Schutzmaske getragen werden.;14:39;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;DGB plaediert fuer behutsame Lockerungen;Der Deutsche Gewerkschaftsbund (DGB) hat sich dafuer ausgesprochen, die Corona-Auflagen nur mit Bedacht aufzuheben.;14:34;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;"""Ein grosser Einschnitt in die Religionsfreiheit""";"Heute startet der Ramadan - in einer ""einschneidenden Situation"", sagt Aiman Mazyek, Vorsitzender des Zentralrats der Muslime, im Interview mit tagesschau24.";14:23;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Bundesregierung verhandelt mit Apple ueber Corona-App;Die Bundesregierung verhandelt mit dem US-Konzern Apple ueber Voraussetzungen fuer eine Corona-Tracing App.;14:07;24.04.2020
Coronavirus-Pandemie | ++ Saudis fuer laengere Waffenruhe im Jemen ++;Macron dankt Bundeslaendern fuer Aufnahme von Corona-Patienten;Frankreichs Praesident Emmanuel Macron hat deutschen Ministerpraesidenten fuer die Aufnahme von franzoesischen Corona-Patienten in ihren Bundeslaendern gedankt.;13:40;24.04.2020
