headline;title;description;pubTime;pubDate
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;FAZ: Bund entgehen Maut-Einnahmen in Millionenhoehe;"Wegen der sinkenden Zahl von Guetertransporten in der Corona-Krise droht Bericht der ""Frankfurter Allgemeinen Zeitung"" zufolge dem Bund bei der Lkw-Maut in diesem Jahr ein Einnahmeausfall in dreistelliger Millionenhoehe.";22:55;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Milliardenverlust durch ausgefallene Messen;Bundesweit mussten wegen der Corona-Pandemie auch zahlreiche Messen gestrichen oder verschoben werden.;21:42;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;GdP sieht mit Geisterspielen Risiken verbunden;Mit Blick auf moegliche Ansammlungen von Fussball-Fans vor Stadien hat die Gewerkschaft der Polizei (GdP) vor Geisterspielen gewarnt.;21:19;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Frankreich: Erneut Hunderte Todesopfer;In Frankreich sind binnen eines Tages weitere 369 Menschen nach einer Infektion mit dem Coronavirus gestorben, fast 200 von ihnen in Krankenhaeusern.;21:13;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Studie zu Infektionen bei Kindern;In Baden-Wuerttemberg haben Mediziner mit einer Studie begonnen, die aufzeigen soll, wie anfaellig Kinder auf eine Infektion mit dem Coronavirus sind.;21:06;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Spanien stellt vorsichtige Lockerung in Aussicht;Seit dem 14. Maerz leben die Spanier unter einer strikten Ausgangssperre: Nur zum Einkaufen oder fuer den Arztbesuch duerfen sie derzeit ihr Zuhause verlassen.;20:42;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;New York will Tests ausweiten;Im US-Bundesstaat New York sollen bald deutlich mehr Menschen auf eine Coronavirus-Infektion getestet werden.;20:35;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Handel pocht auf weitere Hilfen;Es darf wieder geshoppt werden - und viele Deutsche nutzen das auch.;20:30;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Weltweit mehr als 200.000 Corona-Tote;Nach Angaben der Johns-Hopkins-Universitaet in den USA sind weltweit mehr als 200.000 Menschen nach einer Infektion mit dem Coronavirus gestorben.;20:18;25.04.2020
Corona-Liveblog zum Nachlesen | ++ Weltweit mehr als 200.000 Tote ++;Fussball als ein Stueck Normalitaet;Im Interview mit der Sportschau haben Simon Rolfes, Sportdirektor bei Bayer Leverkusen, und Alexander Wehrle, Geschaeftsfuehrer des 1.;19:57;25.04.2020
