headline;title;description;pubTime;pubDate
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Muenchner  Oktoberfest abgesagt;Jetzt ist es beschlossene Sache: Das Oktoberfest findet in diesem Jahr wegen der Corona-Pandemie nicht statt.;09:05;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Mueller sieht Chancen fuer Sommerurlaub am Mittelmeer;Trotz der derzeit geltenden Kontaktbeschraenkungen haelt Entwicklungsminister Gerd Mueller Sommerurlaub auch ausserhalb Deutschlands fuer moeglich - und hat dabei eine bestimmte Region im Blick.;08:43;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Hamburg und Schleswig-Holstein starten mit Abi-Pruefungen;Unter strengen Hygiene-Vorschriften beginnen die schriftlichen Abiturpruefungen jetzt auch in Hamburg und Schleswig-Holstein.;08:23;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Corona-Krise bringt Freizeitparks in Existenznot;Die Corona-Krise bringt manche Freizeitparks nach Angaben ihres Verbands in existenzielle Not.;07:47;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Zahl der positiv Getesteten in Italien geht erstmals zurueck;Gute Nachrichten aus Italien: Die Zahl der Corona-Erkrankten in dem am schwersten von der Pandemie betroffenen Land Europas ist erstmals zurueckgegangen.;07:28;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Spahn gegen Gesetz zur Regelung von Patienten-Priorisierung;Bundesgesundheitsminister Jens Spahn sieht keine Notwendigkeit, per Gesetz zu regeln, welche Patienten im Fall von unzureichenden Behandlungskapazitaeten vorrangig medizinisch versorgt werden sollen.;07:14;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;1785 Neuinfektionen in Deutschland;Das Robert Koch-Institut (RKI) meldet 1785 Corona-Neuinfektionen in Deutschland, insgesamt steigt die Zahl der Infizierten damit auf 143.457.;06:52;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;UN-Mitgliedstaaten fordern Zugang fuer alle zu Corona-Wirkstoffen;"Die 193 Mitgliedstaaten der Vereinten Nationen haben einen ""gleichberechtigten"" Zugang zu kuenftigen Impfstoffen gegen das Coronavirus verlangt.";06:39;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;"SPD kritisiert ""Profilierungsversuche"" von Laschet und Soeder";"Die SPD hat den Ministerpraesidenten von Nordrhein-Westfalen und Bayern, Armin Laschet (CDU) und Markus Soeder (CSU), vorgeworfen, die Corona-Krise fuer ""Profilierungsversuche"" mit Blick auf eine moegliche Kanzlerkandidatur auszuschlachten.";05:40;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Trump will Einwanderung in die USA aussetzen;US-Praesident Donald Trump will jegliche Einwanderung in die Vereinigten Staaten aussetzen.;05:04;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Koalition plant naechstes Anti-Corona-Gesetzespaket;Die Grosse Koalition plant zur Bewaeltigung der Corona-Krise ein weiteres umfangreiches Gesetzespaket im Gesundheitsbereich.;04:28;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;2000 Haeftlinge in US-Gefaengnis infiziert;In einem Gefaengnis im US-Bundesstaat Ohio haben sich fast 2000 von rund 2500 Haeftlingen mit dem Coronavirus infiziert.;04:11;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Oktoberfest-Absage wegen Corona?;Die Hinweise auf eine Absage des Muenchner Oktoberfests wegen der Corona-Pandemie verdichten sich.;04:09;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Boeing will Produktion bei Seattle wieder aufnehmen;Der US-Flugzeugbauer Boeing will die Produktion nach dem Stopp wegen des Coronavirus wieder aufnehmen.;03:25;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;JU-Chef fordert mehr Macht fuer Bundesregierung in Krisenzeiten;Der Vorsitzende der Jungen Union (JU), Tilman Kuban, plaediert dafuer, der Bundesregierung in Krisenzeiten mehr Macht zu uebertragen.;03:04;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Kretschmann rechnet mit laengeren Kontaktbeschraenkungen;Baden-Wuerttembergs Ministerpraesident Winfried Kretschmann geht davon aus, dass die Corona-Kontaktsperren noch laenger andauern werden.;02:28;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Eine Einschaetzung zu den US-Protesten;ARD-Korrespondent Jan Philipp Burgard aus dem Studio Washington mit einer Einschaetzung zu den zunehmenden Protesten.;02:28;21.04.2020
